id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,URL,Stadium,Location,Highlights_available
4033188,2012,52nd Match,08-05-2012,PUNE WARRIORS vs RAJASTHAN ROYALS,Rajasthan Royals won by 7 wkts,https://www.cricbuzz.com/cricket-scores/11233/pwi-vs-rr-52nd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11233/pwi-vs-rr-52nd-match-indian-premier-league-2012,Maharashtra Cricket Association Stadium,Pune,FALSE
5690263,2012,53rd Match,08-05-2012,DECCAN CHARGERS vs KINGS XI PUNJAB,Kings XI Punjab won by 25 runs,https://www.cricbuzz.com/cricket-scores/11234/dcg-vs-kxip-53rd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11234/dcg-vs-kxip-53rd-match-indian-premier-league-2012,Rajiv Gandhi International Stadium,Hyderabad,FALSE
6490891,2012,54th Match,09-05-2012,MUMBAI INDIANS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 9 wkts,https://www.cricbuzz.com/cricket-scores/11235/mi-vs-rcb-54th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11235/mi-vs-rcb-54th-match-indian-premier-league-2012,Wankhede Stadium,Mumbai,FALSE
7434723,2012,55th Match,10-05-2012,DECCAN CHARGERS vs DELHI CAPITALS,Delhi Daredevils won by 9 wkts,https://www.cricbuzz.com/cricket-scores/11196/dcg-vs-dc-55th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11196/dcg-vs-dc-55th-match-indian-premier-league-2012,Rajiv Gandhi International Stadium,Hyderabad,FALSE
4616447,2012,56th Match,10-05-2012,RAJASTHAN ROYALS vs CHENNAI SUPER KINGS,Chennai Super Kings won by 4 wkts,https://www.cricbuzz.com/cricket-scores/11236/rr-vs-csk-56th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11236/rr-vs-csk-56th-match-indian-premier-league-2012,Sawai Mansingh Stadium,Jaipur,FALSE
9456736,2012,57th Match,11-05-2012,PUNE WARRIORS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 35 runs,https://www.cricbuzz.com/cricket-scores/11237/pwi-vs-rcb-57th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11237/pwi-vs-rcb-57th-match-indian-premier-league-2012,Maharashtra Cricket Association Stadium,Pune,FALSE
3907758,2012,58th Match,12-05-2012,KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS,Mumbai Indians won by 27 runs,https://www.cricbuzz.com/cricket-scores/11238/kkr-vs-mi-58th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11238/kkr-vs-mi-58th-match-indian-premier-league-2012,Eden Gardens,Kolkata,FALSE
4598171,2012,59th Match,12-05-2012,CHENNAI SUPER KINGS vs DELHI CAPITALS,Chennai Super Kings won by 9 wkts,https://www.cricbuzz.com/cricket-scores/11239/csk-vs-dc-59th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11239/csk-vs-dc-59th-match-indian-premier-league-2012,MA Chidambaram Stadium,Chennai,FALSE
9268774,2012,60th Match,13-05-2012,RAJASTHAN ROYALS vs PUNE WARRIORS,Rajasthan Royals won by 45 runs,https://www.cricbuzz.com/cricket-scores/11240/rr-vs-pwi-60th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11240/rr-vs-pwi-60th-match-indian-premier-league-2012,Sawai Mansingh Stadium,Jaipur,FALSE
8116928,2012,61st Match,13-05-2012,KINGS XI PUNJAB vs DECCAN CHARGERS,Kings XI Punjab won by 4 wkts,https://www.cricbuzz.com/cricket-scores/11241/kxip-vs-dcg-61st-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11241/kxip-vs-dcg-61st-match-indian-premier-league-2012,Punjab Cricket Association IS Bindra Stadium,Mohali,FALSE
